"kind","group","element","scenario","period","resolution","file","path"
"elements","tree","tree-pinu-ban","landr-scfm-v4","2011","250m","mean.tif","api/v1/public/wbi-nwt/elements/tree-pinu-ban/landr-scfm-v4/2011/250m/mean.tif"
"elements","tree","tree-popu-tre","landr-scfm-v4","2011","250m","mean.tif","api/v1/public/wbi-nwt/elements/tree-popu-tre/landr-scfm-v4/2011/250m/mean.tif"
"elements","bird","bird-alfl","landrcs-fs-v6a","2011","250m","mean.tif","api/v1/public/wbi-nwt/elements/bird-alfl/landrcs-fs-v6a/2011/250m/mean.tif"
"elements","bird","bird-amcr","landrcs-fs-v6a","2011","250m","mean.tif","api/v1/public/wbi-nwt/elements/bird-amcr/landrcs-fs-v6a/2011/250m/mean.tif"
"elements","bird","bird-amre","landrcs-fs-v6a","2011","250m","mean.tif","api/v1/public/wbi-nwt/elements/bird-amre/landrcs-fs-v6a/2011/250m/mean.tif"
"elements","bird","bird-amro","landrcs-fs-v6a","2011","250m","mean.tif","api/v1/public/wbi-nwt/elements/bird-amro/landrcs-fs-v6a/2011/250m/mean.tif"
"elements","bird","bird-atsp","landrcs-fs-v6a","2011","250m","mean.tif","api/v1/public/wbi-nwt/elements/bird-atsp/landrcs-fs-v6a/2011/250m/mean.tif"
"elements","bird","bird-baww","landrcs-fs-v6a","2011","250m","mean.tif","api/v1/public/wbi-nwt/elements/bird-baww/landrcs-fs-v6a/2011/250m/mean.tif"
"elements","bird","bird-bbwa","landrcs-fs-v6a","2011","250m","mean.tif","api/v1/public/wbi-nwt/elements/bird-bbwa/landrcs-fs-v6a/2011/250m/mean.tif"
"elements","bird","bird-bbwo","landrcs-fs-v6a","2011","250m","mean.tif","api/v1/public/wbi-nwt/elements/bird-bbwo/landrcs-fs-v6a/2011/250m/mean.tif"
"elements","bird","bird-bcch","landrcs-fs-v6a","2011","250m","mean.tif","api/v1/public/wbi-nwt/elements/bird-bcch/landrcs-fs-v6a/2011/250m/mean.tif"
"elements","bird","bird-bhco","landrcs-fs-v6a","2011","250m","mean.tif","api/v1/public/wbi-nwt/elements/bird-bhco/landrcs-fs-v6a/2011/250m/mean.tif"
"elements","bird","bird-bhvi","landrcs-fs-v6a","2011","250m","mean.tif","api/v1/public/wbi-nwt/elements/bird-bhvi/landrcs-fs-v6a/2011/250m/mean.tif"
"elements","bird","bird-blpw","landrcs-fs-v6a","2011","250m","mean.tif","api/v1/public/wbi-nwt/elements/bird-blpw/landrcs-fs-v6a/2011/250m/mean.tif"
"elements","bird","bird-boch","landrcs-fs-v6a","2011","250m","mean.tif","api/v1/public/wbi-nwt/elements/bird-boch/landrcs-fs-v6a/2011/250m/mean.tif"
"elements","bird","bird-brbl","landrcs-fs-v6a","2011","250m","mean.tif","api/v1/public/wbi-nwt/elements/bird-brbl/landrcs-fs-v6a/2011/250m/mean.tif"
"elements","bird","bird-brcr","landrcs-fs-v6a","2011","250m","mean.tif","api/v1/public/wbi-nwt/elements/bird-brcr/landrcs-fs-v6a/2011/250m/mean.tif"
"elements","bird","bird-btnw","landrcs-fs-v6a","2011","250m","mean.tif","api/v1/public/wbi-nwt/elements/bird-btnw/landrcs-fs-v6a/2011/250m/mean.tif"
