"year","resolution","scenario","element_name","path","mean","max","group","species_code","common_name","scientific_name","pal_max"
2100,"1000m","landrcs-fs-v6a","bird-wiwa","bird-wiwa/landrcs-fs-v6a/2100/1000m/mean.tif",0.259603618473508,1.49048686027527,"bird","WIWA","Wilson's Warbler","Cardellina pusilla",NA
2011,"250m","landrcs-fs-v6a","bird-wiwa","bird-wiwa/landrcs-fs-v6a/2011/250m/mean.tif",0.158519814479694,2.45125460624695,"bird","WIWA","Wilson's Warbler","Cardellina pusilla",NA
2100,"250m","landrcs-fs-v6a","bird-wiwa","bird-wiwa/landrcs-fs-v6a/2100/250m/mean.tif",0.260348771357295,1.96530711650848,"bird","WIWA","Wilson's Warbler","Cardellina pusilla",NA
2011,"1000m","landr-scfm-v4","bird-wiwr","bird-wiwr/landr-scfm-v4/2011/1000m/mean.tif",0.102782357084345,0.83848112821579,"bird","WIWR","Winter Wren","Troglodytes hiemalis",NA
2100,"1000m","landr-scfm-v4","bird-wiwr","bird-wiwr/landr-scfm-v4/2100/1000m/mean.tif",0.0988851207921294,0.83808296918869,"bird","WIWR","Winter Wren","Troglodytes hiemalis",NA
2011,"250m","landr-scfm-v4","bird-wiwr","bird-wiwr/landr-scfm-v4/2011/250m/mean.tif",0.102898377114399,2.06085777282715,"bird","WIWR","Winter Wren","Troglodytes hiemalis",NA
2100,"250m","landr-scfm-v4","bird-wiwr","bird-wiwr/landr-scfm-v4/2100/250m/mean.tif",0.0992599743754809,2.05848121643066,"bird","WIWR","Winter Wren","Troglodytes hiemalis",NA
2011,"1000m","landrcs-fs-v6a","bird-wiwr","bird-wiwr/landrcs-fs-v6a/2011/1000m/mean.tif",0.158077064230528,1.00219428539276,"bird","WIWR","Winter Wren","Troglodytes hiemalis",NA
2100,"1000m","landrcs-fs-v6a","bird-wiwr","bird-wiwr/landrcs-fs-v6a/2100/1000m/mean.tif",0.259603618473508,1.49048686027527,"bird","WIWR","Winter Wren","Troglodytes hiemalis",NA
2011,"250m","landrcs-fs-v6a","bird-wiwr","bird-wiwr/landrcs-fs-v6a/2011/250m/mean.tif",0.158519814479694,2.45125460624695,"bird","WIWR","Winter Wren","Troglodytes hiemalis",NA
